央视频道,#genre#
CCTV-10 科教,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1
CCTV-11 戏曲,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1
CCTV-11 戏曲,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1
CCTV-12 社会与法,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1
CCTV-12 社会与法,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1
CCTV-12 社会与法,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226931/index.m3u8?servicetype=1
CCTV-13 新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
CCTV-13 新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1
CCTV-14 少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1
CCTV-14 少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1
CCTV-14 少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1
CCTV-15 音乐,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1
CCTV-15 音乐,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1
CCTV-16 奥林匹克,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1
CCTV-16 奥林匹克,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
CCTV-17 农业,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1
CCTV-17 农业,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1

CCTV-1 综合,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225829/index.m3u8?servicetype=1
CCTV-1 综合,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227014/index.m3u8?servicetype=1
CCTV-1 综合,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV-1 综合,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1
CCTV-1 综合,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225922/index.m3u8?servicetype=1
CCTV-2 财经,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226795/index.m3u8?servicetype=1
CCTV-2 财经,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1
CCTV-2 财经,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1
CCTV-2 财经,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1
CCTV-3 综艺,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1
CCTV-4 中文国际,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1
CCTV-4 中文国际,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1
CCTV-5 体育,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1
CCTV-6 电影,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1
CCTV-7 国防军事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225805/index.m3u8?servicetype=1
CCTV-7 国防军事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1
CCTV-7 国防军事,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226972/index.m3u8?servicetype=1
