福建频道,#genre#
福建电视剧,http://39.135.55.105:6610/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1
福建教育,http://39.135.55.105:6610/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1
厦门一套 综合频道,http://39.135.55.105:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1
厦门二套 海峡频道,http://39.135.55.105:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1
厦门三套 生活频道,http://39.135.55.105:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1

福建新闻,http://112.50.243.8/PLTV/88888888/224/3221227180/1.m3u8
福建综合,http://112.50.243.8/PLTV/88888888/224/3221227149/1.m3u8
福建经济,http://112.50.243.8/PLTV/88888888/224/3221227184/1.m3u8
福建文体,http://112.50.243.8/PLTV/88888888/224/3221227188/1.m3u8
福建旅游,http://112.50.243.8/PLTV/88888888/224/3221227190/1.m3u8
福建公共,http://112.50.243.8/PLTV/88888888/224/3221227153/1.m3u8
福建少儿,http://112.50.243.8/PLTV/88888888/224/3221227194/1.m3u8
福建教育,http://112.50.243.8/PLTV/88888888/224/3221227202/1.m3u8
福建电视剧,http://112.50.243.8/PLTV/88888888/224/3221227079/1.m3u8
厦门一套 综合频道,http://112.50.243.8/PLTV/88888888/224/3221226814/1.m3u8
厦门二套 海峡频道,http://112.50.243.8/PLTV/88888888/224/3221226777/1.m3u8
厦门三套 生活频道,http://112.50.243.8/PLTV/88888888/224/3221226760/1.m3u8

直播测试,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226895/index.m3u8
直播室101,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
直播室102,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8
直播室103,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
直播室104,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8
直播室105,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226646/index.m3u8
直播室106,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
直播室107,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
直播室108,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8
直播室109,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
直播室110,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226603/index.m3u8
直播室111,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226599/index.m3u8

直播测试,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226895/index.m3u8?servicetype=1
直播室101,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226568/index.m3u8?servicetype=1
直播室102,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226638/index.m3u8?servicetype=1
直播室103,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226569/index.m3u8?servicetype=1
直播室104,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226642/index.m3u8?servicetype=1
直播室105,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226646/index.m3u8?servicetype=1
直播室106,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226573/index.m3u8?servicetype=1
直播室107,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226565/index.m3u8?servicetype=1
直播室108,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226564/index.m3u8?servicetype=1
直播室109,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226560/index.m3u8?servicetype=1
直播室110,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226603/index.m3u8?servicetype=1
直播室111,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1

直播测试,http://39.135.55.105:6610/PLTV/88888888/224/3221226895/index.m3u8?servicetype=1
直播室101,http://39.135.55.105:6610/PLTV/88888888/224/3221226568/index.m3u8?servicetype=1
直播室102,http://39.135.55.105:6610/PLTV/88888888/224/3221226638/index.m3u8?servicetype=1
直播室103,http://39.135.55.105:6610/PLTV/88888888/224/3221226569/index.m3u8?servicetype=1
直播室104,http://39.135.55.105:6610/PLTV/88888888/224/3221226642/index.m3u8?servicetype=1
直播室105,http://39.135.55.105:6610/PLTV/88888888/224/3221226646/index.m3u8?servicetype=1
直播室106,http://39.135.55.105:6610/PLTV/88888888/224/3221226573/index.m3u8?servicetype=1
直播室107,http://39.135.55.105:6610/PLTV/88888888/224/3221226565/index.m3u8?servicetype=1
直播室108,http://39.135.55.105:6610/PLTV/88888888/224/3221226564/index.m3u8?servicetype=1
直播室109,http://39.135.55.105:6610/PLTV/88888888/224/3221226560/index.m3u8?servicetype=1
直播室110,http://39.135.55.105:6610/PLTV/88888888/224/3221226603/index.m3u8?servicetype=1
直播室111,http://39.135.55.105:6610/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1
