港澳频道,#genre#
无线明珠台,http://baidu.douyincdn.freetvtv.com/peal/m2.m3u8
无线J2,http://baidu.douyincdn.freetvtv.com/j2/index.m3u8
ViuTV,http://baidu.douyincdn.freetvtv.com/vius/m2.m3u8

无线新闻台,http://radius.8866.org:800/hls/82/index.m3u8
无线明珠台,http://radius.8866.org:800/hls/84/index.m3u8
无线财经体育资讯台,http://radius.8866.org:800/hls/83/index.m3u8
ViuTV,http://radius.8866.org:800/hls/86/index.m3u8
ViuTV 6,http://radius.8866.org:800/hls/85/index.m3u8

无线明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
无线J2,http://59.149.114.27:9981/stream/channelid/353264762?profile=matroska

无线财经体育资讯台,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8

无线明珠台,http://107.151.203.111:2209/135/hk.php?id=tvbmzt
无线财经体育资讯台,http://107.151.203.111:2209/135/hk.php?id=tvbcjtyt
有线新闻台,http://107.151.203.111:2209/135/hk.php?id=cable37h
香港卫视,http://107.151.203.111:2209/135/hk.php?id=hkws
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh

澳门莲花,https://pull-l3-cny.douyincdn.com/third/stream-f3caad21816e3bfe2210a692387ab040.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
澳门莲花,https://www.nettvpro.live/hls/lotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8

澳视澳门,http://61.244.22.4/ch1/ch1.live/index.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/master.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/chunklist_w1689163998.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/chunklist_w1769233607.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/index.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/master.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/playelist.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/playlist.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1549575352.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w538888054.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/master.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/playlist.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w30461384.m3u8
澳门综艺,http://61.244.22.4/ch6/hd_ch6.live/master.m3u8
澳门综艺,http://61.244.22.4/ch6/hd_ch6.live/index.m3u8
澳视体育,http://61.244.22.4/ch4/sport_ch4.live/master.m3u8
澳视体育,http://61.244.22.4/ch4/sport_ch4.live/playelist.m3u8
澳视体育,http://61.244.22.4/ch4/sport_ch4.live/playlist.m3u8

澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8

凤凰香港,http://120.84.96.89:808/hls/81/index.m3u8
无线翡翠台,http://120.84.96.89:808/hls/25/index.m3u8
